originId,label,ipBlocking,appliedBundle,status,lastSyncStatus,lastSync,version,osVersion,osVersionName,type
587405272,LAP-MKTG-013,Disabled,3901056,VA,VA,2024-06-05 08:52:35,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
587545238,LAP-336-001,Disabled,3901056,Off,VA,2024-05-20 09:01:33,3.0.466,Microsoft Windows [version 10.0.19045.2604],Windows 10,roaming
587701477,LAP-414-001,Disabled,14365264,Encrypted,Encrypted,2024-06-05 09:00:16,3.0.466,Microsoft Windows [version 10.0.19045.3930],Windows 10,roaming
587827104,LAP-055-001,Disabled,4126698,VA,VA,2024-06-05 09:20:57,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
587827303,TPV-348-002,Disabled,3901156,VA,VA,2024-06-05 09:14:11,3.0.466,Microsoft Windows [version 10.0.17763.5830],Windows 10,roaming
587827433,TPV-348-001,Disabled,3901156,VA,VA,2024-06-05 09:14:40,3.0.466,Microsoft Windows [version 10.0.17763.5830],Windows 10,roaming
587827484,TPV-145-002,Disabled,4126698,VA,VA,2024-06-05 09:22:14,3.0.466,Microsoft Windows [version 10.0.17763.5830],Windows 10,roaming
588088953,LAP-427-3,Disabled,14360147,VA,VA,2024-06-05 09:19:47,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
588354791,LAP-030-4,Disabled,4126698,VA,VA,2024-06-05 09:12:17,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
588657578,LAP-NOMADE-1,Disabled,3901056,Off,VA,2023-01-19 12:43:55,3.0.279,Microsoft Windows [version 10.0.19042.1052],Windows 10,roaming
588673597,LP-HORLOGER-401,Disabled,3901156,VA,VA,2024-06-05 09:16:16,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
588679001,LAP-SUPP-004,Disabled,3901056,VA,VA,2024-06-05 09:15:17,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
588680983,LAP-329-001,Disabled,14365264,Off,Encrypted,2024-03-15 09:41:54,3.0.466,Microsoft Windows [version 10.0.19045.2846],Windows 10,roaming
589253851,LAP-226-001,Disabled,4126698,Off,VA,2024-06-04 17:43:27,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
589665400,LAP-428-001,Disabled,3901156,VA,VA,2024-06-05 05:39:37,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
589797255,LAP-193-001,Disabled,4126698,Off,VA,2024-02-13 10:09:38,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
589872886,TPV-330-001,Disabled,3901156,VA,VA,2024-06-05 09:20:38,3.0.466,Microsoft Windows [version 10.0.17763.5830],Windows 10,roaming
589972695,LAP-339-001,Disabled,3901156,Off,VA,2024-06-04 16:01:02,3.0.466,Microsoft Windows [version 10.0.19045.3693],Windows 10,roaming
590356357,LAP-038-001,Disabled,4126698,VA,VA,2024-06-05 09:17:32,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
590600736,LAP-064-FORMA,Disabled,14360147,Off,VA,2024-06-04 19:06:55,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
590600900,LAP-PAIE-004,Disabled,3901056,VA,VA,2024-06-05 09:15:38,3.0.466,Microsoft Windows [Version 10.0.19045.4412],Windows 10,roaming
590603086,LAP-RH-104,Disabled,3901056,VA,VA,2024-06-05 09:08:42,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
590893478,LAP-318-001,Disabled,3901156,VA,VA,2024-06-05 08:58:55,3.0.466,Microsoft Windows [version 10.0.22621.2715],Windows 11,roaming
