Devince name,All_Device_Trend,Trend Vison Endpoint,GLPI,Umbrella,Old version Umbrella
TPV-073-001,Yes,Yes,Yes,No,
LAP-ACH-019,Yes,No,No,Yes,No
LAP-CPTA-102,Yes,Yes,Yes,Yes,Yes
LAP-002-4,Yes,No,Yes,No,
192.168.1.29,Yes,No,No,No,
LAP-GST-004,Yes,Yes,Yes,Yes,Yes
192.168.1.77,Yes,No,No,No,
LAP-CPTA-104,Yes,Yes,No,Yes,Yes
10.2.24.7,Yes,No,No,No,
TPV-349-002,Yes,Yes,Yes,No,
TPV-318-001,Yes,Yes,Yes,No,
svi-12r2-gcds.louispion.fr,Yes,No,No,No,
TPV-507-001,Yes,Yes,Yes,Yes,No
192.168.1.118,Yes,No,No,No,
LAP-IT-092,Yes,Yes,Yes,Yes,No
LP-196-4,Yes,No,Yes,No,
TPV-206-001,Yes,Yes,Yes,No,
TPV-XXX-00Xi,No,Yes,Yes,No,
TPV-314-002,Yes,Yes,No,No,
LAP-018-001,Yes,Yes,Yes,Yes,Yes
TPV-348-001,Yes,Yes,Yes,Yes,Yes
LAP-227-001,Yes,Yes,Yes,Yes,Yes
TPV-454-001,Yes,Yes,Yes,No,
LAP-GST-006,Yes,Yes,Yes,Yes,Yes
LAP-315-1,Yes,No,No,No,
LAP-422-002,Yes,No,Yes,Yes,Yes
cucm1,Yes,No,No,No,
TPV-049-001,Yes,Yes,Yes,No,
TPV-017-002,Yes,Yes,Yes,No,
10.1.228.80,Yes,No,No,No,
LAP-MKTG-013,Yes,Yes,Yes,Yes,Yes
LAP-414-003,No,No,Yes,Yes,No
svi-19dc-talend,Yes,No,Yes,No,
svi-19dc-adfs.louispion.fr,Yes,No,No,No,
TPV-303-001,Yes,Yes,Yes,No,
LAP-IT-023,Yes,Yes,Yes,Yes,No
TPV-424-003,Yes,Yes,Yes,No,
LAP-DIR-COM,Yes,Yes,Yes,Yes,Yes
TPV-327-001,Yes,Yes,Yes,No,
10.4.1.230,Yes,No,No,No,
TPV-306-001,Yes,No,Yes,No,
LAP-IT-003,Yes,Yes,Yes,No,
SRV-BI-WEB,Yes,Yes,No,No,
TPV-502-002,Yes,Yes,Yes,Yes,No
LP-048-4,Yes,No,Yes,No,
10.2.121.9,Yes,No,No,No,
LP-156-4 sur le 001,No,No,Yes,No,
LAP-RSE-001,Yes,Yes,Yes,No,
10.2.9.80,Yes,No,No,No,
SVI-12R2-APEXON,Yes,No,No,No,
LAP-028-4,Yes,Yes,Yes,No,
TPV-106-001,Yes,Yes,Yes,No,
LP-235-4,Yes,Yes,Yes,Yes,No
TPV-309-001,Yes,Yes,Yes,No,
TPV-018-001,Yes,Yes,No,No,
TPV-506-001,Yes,Yes,Yes,Yes,No
TPV-221-001,Yes,Yes,Yes,No,
192.168.10.253,Yes,No,No,No,
LAP-038-001,Yes,Yes,Yes,Yes,Yes
TPV-062-001,Yes,Yes,Yes,No,
LP-021-4,Yes,No,Yes,No,
svi19-wsus-dc,Yes,No,Yes,No,
LAP-041-1,Yes,Yes,Yes,No,
LP-334-2,Yes,No,Yes,No,
LAP-ASSIS-001,Yes,Yes,No,No,
TPV-142-001,Yes,Yes,Yes,No,
LAP-INFO-15,No,No,No,Yes,Yes
LAP-318-001,Yes,Yes,Yes,Yes,Yes
LP-316-4,Yes,No,Yes,No,
LAP-049-3,Yes,No,Yes,No,
LAP-454-001,No,No,Yes,Yes,No
LAP-309-03,Yes,Yes,No,No,
LAP-031-2,Yes,No,Yes,No,
LAP-CTRL-GST1,Yes,Yes,No,Yes,Yes
192.168.0.47,Yes,No,No,No,
LAP-336-001,Yes,No,Yes,Yes,Yes
10.1.51.80,Yes,No,No,No,
10.2.101.80,Yes,No,No,No,
LAP-004-002,Yes,Yes,Yes,Yes,No
LAP-414-002,Yes,Yes,Yes,Yes,Yes
LAP-MKTG-03,Yes,No,Yes,No,
TPV-509-001,Yes,Yes,Yes,Yes,No
LAP-PAIE-004,Yes,Yes,Yes,Yes,Yes
LAP-RH-105,Yes,Yes,Yes,Yes,No
LAP-081-001,Yes,Yes,Yes,Yes,No
LAP-INFO-011,Yes,Yes,Yes,Yes,Yes
LAP-MKTG-S-003,Yes,Yes,Yes,Yes,Yes
LAP-PAIE-010,Yes,Yes,Yes,No,
LAP-322-001,Yes,No,Yes,Yes,No
10.2.114.80,Yes,No,No,No,
LAP-153-002,No,No,Yes,Yes,No
192.168.1.9,Yes,No,No,No,
TPV-055-001,Yes,Yes,Yes,No,
192.168.1.121,Yes,No,No,No,
LAP-MERSH-001,Yes,Yes,Yes,Yes,Yes
192.168.1.254,Yes,No,No,No,
LAP-226-001,Yes,Yes,Yes,Yes,Yes
192.168.0.14,Yes,No,No,No,
TPV-515-001,Yes,Yes,Yes,Yes,No
LAP-DIR-P2,Yes,Yes,Yes,Yes,Yes
TPV-521-001,Yes,Yes,Yes,Yes,No
LAP-SOPHIEC,Yes,No,Yes,Yes,No
SUR-408-002,No,Yes,Yes,No,
10.3.0.161,Yes,No,No,No,
10.4.1.214,Yes,No,No,No,
LAP-MKT-S-002,Yes,Yes,Yes,Yes,Yes
LAP-414-4,Yes,No,Yes,Yes,Yes
TPV-402-001,Yes,Yes,Yes,No,
192.168.1.14,Yes,No,No,No,
TPV-030-001,Yes,Yes,Yes,No,
LP-406-7,No,No,Yes,No,
TPV-528-001,Yes,Yes,Yes,Yes,No
TPV-028-1,Yes,Yes,Yes,No,
DEV645BA6,Yes,No,No,No,
LP-196-5,Yes,No,Yes,No,
192.168.1.16,Yes,No,No,No,
TPV-320-001,Yes,Yes,Yes,No,
LAP-CPTA-101,No,No,No,Yes,Yes
LAP-PAIE-005,Yes,Yes,Yes,No,
10.1.196.80,Yes,No,No,No,
SUR-408-003,No,Yes,Yes,No,
LP-001-002,Yes,Yes,No,No,
TPV-021-001,Yes,Yes,Yes,No,
LP-307-02,Yes,No,Yes,No,
TPV-504-001,Yes,Yes,Yes,Yes,Yes
10.1.18.152,Yes,No,No,No,
pub01.louispion.fr,Yes,No,No,No,
LAP-PAIE-007,Yes,Yes,Yes,Yes,No
LEARNING,Yes,No,No,No,
10.2.124.193,Yes,No,No,No,
DESKTOP-EIP4FUI,Yes,No,No,No,
TPV-531-001,Yes,Yes,Yes,Yes,No
labo-cegidw10,No,Yes,Yes,Yes,Yes
LAP-116-3,Yes,No,Yes,No,
TPV-317-001,Yes,Yes,Yes,No,
TPV-321-001,Yes,Yes,Yes,No,
LAP-ACHATS-023,Yes,Yes,No,Yes,Yes
LAP-042-1,No,No,Yes,No,
LP-349-2,No,No,Yes,Yes,Yes
TPV-408-001,Yes,Yes,Yes,No,
TPV-533-001,Yes,No,Yes,Yes,No
LP-424-3,Yes,No,Yes,No,
TPV-403-001,Yes,Yes,Yes,No,
TPV-523-001,Yes,Yes,Yes,Yes,No
LAP-DIR-MKTG1,Yes,Yes,Yes,Yes,Yes
LAP-SUP-106,Yes,Yes,No,Yes,Yes
TPV-304-001,Yes,Yes,Yes,No,
10.2.121.85,Yes,No,No,No,
WIN-3B9VUFESI0J,Yes,No,No,No,
LAP-145-001,Yes,No,Yes,Yes,No
svi-12r2-bi-app.louispion.fr,Yes,No,No,No,
TPV-142-002,Yes,Yes,Yes,No,
DESKTOP-HKL5THA,Yes,No,Yes,No,
LAP-062-001,Yes,Yes,Yes,Yes,Yes
LAP-PAXE-002,Yes,Yes,Yes,Yes,Yes
TPV-522-002,Yes,Yes,Yes,Yes,No
SVI-12R2-CBS-WEB.louispion.fr,Yes,No,No,No,
10.3.0.228,Yes,No,No,No,
LAP-030-4,Yes,Yes,Yes,Yes,Yes
LP-HORLOGER-401,Yes,Yes,Yes,Yes,Yes
LAP-SUP-013,Yes,Yes,Yes,Yes,Yes
10.2.16.80,Yes,No,No,No,
LAP-COMPTA-02,Yes,Yes,Yes,Yes,Yes
LP-421-13,Yes,No,Yes,No,
LAP-193-001,Yes,Yes,Yes,Yes,Yes
LAP-320-03,Yes,Yes,Yes,No,
LAP-075-001,Yes,Yes,Yes,Yes,Yes
MASTER,Yes,Yes,No,No,
TPV-230-002,Yes,Yes,Yes,No,
10.1.122.80,Yes,No,No,No,
LAP-INFO-012,No,No,Yes,Yes,Yes
LP-418-4,No,No,Yes,Yes,Yes
TPV-122-001,Yes,Yes,Yes,No,
LAP-427-1,Yes,No,Yes,Yes,Yes
TPV-002-001,Yes,Yes,Yes,No,
LP-033-4,Yes,No,Yes,No,
TPV-412-002,Yes,Yes,Yes,No,
LP-195-3,Yes,No,Yes,No,
10.1.20.80,Yes,No,No,No,
TPV-228-002,Yes,Yes,No,No,
LP-317-1,Yes,No,No,No,
LAP-CPTA-001,No,Yes,Yes,No,
LAP-303-001,Yes,No,Yes,No,
LAP-SUP-100,Yes,Yes,Yes,Yes,Yes
192.168.0.24,Yes,No,No,No,
TPV-326-001,Yes,Yes,Yes,No,
DESKTOP-LPG92FQ,No,No,No,Yes,Yes
LAP-DR-PA-CEN,Yes,Yes,Yes,Yes,Yes
LAP-029-3,Yes,No,Yes,No,
LAP-CPTA-110,Yes,Yes,Yes,Yes,Yes
TPV-191-001,Yes,Yes,Yes,No,
LAP-GST-001,Yes,No,No,Yes,Yes
10.1.145.80,Yes,No,No,No,
PC-Marianne,No,Yes,Yes,Yes,No
TPV-230-001,Yes,Yes,Yes,No,
LAP-ODP-RSI,Yes,Yes,Yes,Yes,Yes
LAP-347-001,No,No,Yes,Yes,Yes
10.3.6.81,Yes,No,No,No,
svi-12r2-gsmme,Yes,No,No,No,
10.4.1.6,Yes,No,No,No,
TPV-517-001,Yes,Yes,Yes,Yes,No
LAP-MKTG-004,Yes,Yes,Yes,No,
LAP-404-002,Yes,No,Yes,Yes,Yes
LAP-424-1,Yes,No,Yes,No,
lp-235-5,Yes,No,No,No,
svi-12r2-dwh,No,No,Yes,No,
TPV-503-001,Yes,Yes,Yes,Yes,No
DESKTOP-M2MJ7Q3,No,Yes,No,No,
TPV-215-001,Yes,Yes,Yes,No,
TPV-106-003,Yes,Yes,Yes,No,
LAP-235-2,Yes,No,Yes,No,
TPV-424-004,No,Yes,Yes,Yes,No
LAP-ACH-21,Yes,Yes,Yes,Yes,Yes
LAP-400-003,Yes,Yes,Yes,Yes,Yes
LP-412-3,No,No,Yes,No,
LAP-NOMADE-1,No,No,No,Yes,Yes
TPV-149-001,Yes,Yes,Yes,No,
LAP-Achat-010,No,Yes,No,Yes,Yes
LAP-BIJ-001,Yes,Yes,Yes,Yes,Yes
192.168.1.251,Yes,No,No,No,
svi-12r2-tech,No,No,Yes,No,
LAP-SUP-103,Yes,Yes,No,Yes,Yes
TPV-535-001,Yes,No,Yes,Yes,No
192.168.1.93,Yes,No,No,No,
TPV-311-001,Yes,Yes,Yes,No,
LAP-305-1,Yes,Yes,Yes,No,
TPV-139-002,Yes,Yes,Yes,No,
LAP-320-4,Yes,No,Yes,Yes,Yes
LAP-MKTG-S-005,Yes,Yes,Yes,Yes,Yes
TPV-066-002,Yes,Yes,No,No,
TPV-518-001,Yes,Yes,Yes,Yes,No
LP-322-2,Yes,No,No,No,
LAP-414-001,Yes,Yes,Yes,Yes,Yes
TPV-519-001,Yes,Yes,Yes,Yes,No
LAP-RSE-002,Yes,Yes,Yes,Yes,No
LAP-CPTA-107,No,No,No,Yes,Yes
TPV-345-001,Yes,Yes,Yes,No,
LAP-401-002,Yes,Yes,Yes,Yes,Yes
LP-323-01,Yes,No,Yes,No,
LP-COMPTA-018,Yes,Yes,Yes,Yes,Yes
LAP-048-4,Yes,Yes,Yes,Yes,Yes
192.168.1.51,Yes,No,No,No,
LAP-142-001,Yes,No,Yes,Yes,No
LAP-063-2,Yes,No,Yes,Yes,Yes
LAP-TRAV-01,Yes,Yes,Yes,Yes,Yes
LAP-DR-LUXE,No,No,No,Yes,Yes
TPV-145-002,Yes,Yes,Yes,Yes,Yes
LAP-ACH010,Yes,Yes,Yes,Yes,Yes
192.168.0.254,Yes,No,No,No,
10.1.28.80,Yes,No,No,No,
LAP-009-3,Yes,No,No,No,
LP-143-1,No,No,Yes,No,
TAB-408-001,Yes,Yes,Yes,Yes,Yes
LP-406-2,No,No,Yes,No,
LAP-MKTG-005,Yes,Yes,Yes,Yes,Yes
LAP-SAV-005,No,No,No,Yes,Yes
10.3.0.83,Yes,No,No,No,
192.168.1.123,Yes,No,No,No,
192.168.1.18,Yes,No,No,No,
TPV-003-2,Yes,Yes,Yes,No,
svi-19-impr.louispion.fr,Yes,No,No,No,
LAP-ACH-22,Yes,Yes,Yes,Yes,Yes
..localmachine,Yes,No,No,No,
LAP-017-3,Yes,Yes,Yes,No,
LAP-120-2,Yes,No,Yes,No,
TPV-538-001,Yes,Yes,Yes,Yes,No
TPV-317-002,Yes,Yes,No,No,
LAP-RSI-ODP,Yes,No,No,Yes,Yes
LAP-417-01,Yes,Yes,Yes,No,
DESKTOP-A89L2G8,No,No,No,Yes,Yes
LAP-408-001,Yes,Yes,Yes,Yes,Yes
LAP-312-001,Yes,Yes,Yes,Yes,Yes
LP-041-3,Yes,No,Yes,No,
TPV-004-004,Yes,Yes,Yes,Yes,No
LAP-127-01,Yes,Yes,Yes,Yes,Yes
10.3.0.196,Yes,No,No,No,
LAP-GEST-007,Yes,Yes,Yes,Yes,Yes
TPV-116-001,Yes,Yes,Yes,No,
TPV-512-001,Yes,Yes,Yes,Yes,No
192.168.1.44,Yes,No,No,No,
TPV-072-001,Yes,Yes,Yes,No,
LAP-CPTA-109,Yes,Yes,Yes,Yes,Yes
LAP-222-2,Yes,No,Yes,No,
10.2.114.91,Yes,No,No,No,
LP-316-3,Yes,No,Yes,No,
LAP-DLE-001,Yes,Yes,Yes,Yes,No
LAP-234-AURES,Yes,Yes,No,No,
LP-454-2,Yes,Yes,Yes,No,
LP-303-N,Yes,Yes,Yes,No,
LP-120-1,Yes,No,Yes,No,
TPV-324-001,Yes,Yes,No,No,
SRV-BD-SAV,Yes,No,No,No,
10.2.126.80,Yes,No,No,No,
TPV-529-001,Yes,Yes,Yes,Yes,No
10.2.124.6,Yes,No,No,No,
TPV-545-001,Yes,Yes,Yes,Yes,No
LAP-SUPPLY-002,Yes,No,No,Yes,Yes
LP-339-2,Yes,No,No,No,
LP-009-4,Yes,Yes,Yes,No,
AIO-401-001,Yes,Yes,Yes,No,
TPV-404-001,Yes,Yes,Yes,No,
10.2.121.80,Yes,No,No,No,
10.2.114.86,Yes,No,No,No,
TPV-081-001,Yes,Yes,Yes,Yes,No
LAP-426-001,Yes,No,Yes,Yes,No
192.168.1.62,Yes,No,No,No,
LAP-ACH-015,No,No,No,Yes,Yes
10.2.124.81,Yes,No,No,No,
192.168.1.125,Yes,No,No,No,
LAP-CPTA-112,Yes,Yes,Yes,Yes,Yes
TPV-136-003,Yes,Yes,No,No,
LAP-314-2,No,No,No,Yes,Yes
LAP-RH-006,No,No,No,Yes,Yes
DESKTOP-9KO1HC4,No,Yes,No,No,
LP-306-3,Yes,No,Yes,No,
192.168.1.105,Yes,No,No,No,
LAP-DR-LUXE2,Yes,Yes,Yes,Yes,Yes
LAP-024-001,Yes,Yes,Yes,Yes,No
LAP-155-001,Yes,Yes,Yes,Yes,Yes
LP-029-4,Yes,No,Yes,No,
10.2.122.81,Yes,No,No,No,
LAP-194-001,Yes,No,Yes,Yes,Yes
TPV-004-002,Yes,Yes,Yes,Yes,No
LP-145-5,Yes,Yes,Yes,Yes,Yes
LAP-055-001,Yes,Yes,Yes,Yes,Yes
TPV-064-001,No,No,Yes,No,
TPV-136-002,Yes,Yes,Yes,No,
LAP-ACH-002,Yes,Yes,Yes,Yes,Yes
TPV-549-001,Yes,No,No,No,
LAP-CSE-010,Yes,Yes,No,Yes,Yes
10.3.6.75,Yes,No,No,No,
172.20.10.1,Yes,No,No,No,
LAP-016-4,Yes,Yes,Yes,No,
TPV-029-001,Yes,Yes,Yes,No,
LAP-DI-CO,Yes,Yes,Yes,Yes,No
LAP-XXXX-XXX,Yes,No,No,No,
LAP-RH-101,Yes,Yes,No,Yes,No
