id,name_movie,language,years,genre,time,finish
85,Love and monsters,Anglais,2020,Comédie / Fiction apocalyptique et post-apocalyptique,1h48,✔
86,Luca,Anglais,2021,Aventure / Comédie ,1h35,✔
87,Ma,Anglais,2019,Thriller et Horreur / Psychologique,1h40,✔
88,Mad max : Fury Road,Anglais,2015,Action / Aventure,2h,✔
89,Meurtres sans ordonnances,Anglais,2022,Thriller / Crime / Drame,2h03,✔
90,Moana,Anglais,2016,Film pour enfant / Animation / Action / Humour,1h47,✔
91,Moi moche et méchant,Anglais,2010,Film pour enfant / Comédie ,1h35,✔
92,Moi moche et méchant 2,Anglais,2013,Film pour enfant / Comédie ,1h38,✔
93,Moi moche et méchant 3,Anglais,2017,Film pour enfant / Comédie ,1h36,✔
94,Mon voisin Totora,Japonais,1988,Film pour enfant / Aventure / Fantaisie,1h26,✔
95,Mortal engine,Anglais,2018,Action / SF,2h08,✔
96,Mulan ,Anglais,1998,Film pour enfant / Musical ,1h28,✔
97,Mulan 2 ,Anglais,2004,Film pour enfant / Musical ,1h19,✔
98,Nos pires voisins,Anglais,2014,Comédie,1h37,✔
99,Nos pires voisins 2,Anglais,2016,Comédie,1h32,✔
100,Obsessed,Anglais,2009,Thriller / Drame,1h48,✔
101,Obsession secrète,Anglais,2019,Thriller / Suspense,1h37,✔
102,Ocean’s 8,Anglais,2018,Comédie / Crime,1h51,✔
103,Oxygene,Anglais,2021,Thriller / Suspense / SF,1h41,✔
104,Parasite,Coréen,2019,Thriller / Drame,2h12,✔
105,Ponyo sur la falaise,Japonais,2008,Film pour enfant / Aventure / Fantaisie,1h51,✔
106,Porco Rosso,Japonais,1992,Film pour enfant / Aventure / Fantaisie,1h42,✔
107,Princesse Mononoké,Japonais,1997,Film pour enfant / Aventure / Fantaisie,2h13,✔
108,Raiponse,Anglais,2010,Film pour enfant / Musical ,1h40,✔
109,Raya et le dernier dragon,Anglais,2021,Film pour enfant / Aventure ,1h47,✔
110,Rebelle,Anglais,2012,Film pour enfant / Aventure ,1h33,✔
111,Red Notice,Anglais,2021,Action / Aventure / Policier ,1h58,✔
112,Retour vers le futur,Anglais,1985,Comédie / SF / Aventure,1h56,✔
113,Room,Anglais,2015,Thriller / Drame,1h58,✔
114,Sharpay’s fabulous adventure,Anglais,2011,Teen Movie / Musical / Romantique,1h30,✔
115,Shuttle Island,Anglais,2010,Thriller / Film à énigme,2h18,✔
116,Silenced,Coréen,2011,Drame / Ecole,2h40,✔
117,Skylar Lewis : Chasseuse de monstres ,Anglais,2012,Teen Movie / Comédie / SF,1h30,✔
118,Sous emprise,Français,2022,Drame / Torride et Intimiste,1h58,✔
119,Sous sa coupe,Espagnol,2022,Thriller / Sombre et psychologique,1h50,✔
120,Spider-man Far from home,Anglais,2019,Action / Aventure,2h10,✔
121,Spider-man Home Coming,Anglais,2017,Action / Aventure,2h13,✔
122,Spider-man No way home,Anglais,2021,Action / Aventure,2h30,✔
123,Split,Anglais,2016,Thriller / Psychologique et suspense,1h57,✔
124,Starstruck,Anglais,2010,Teen Movie / Romance / Comédie,1h30,✔
125,Suicide Squad,Anglais,2016,Action / Aventure ,2h03,✔
126,Tall girl,Anglais,2019,Comédie Romantique,1h42,✔
127,Tall girl 2,Anglais,2022,Comédie Romantique,1h37,✔
